document_name,author,words
A Study in Scarlet,Arthur Conan Doyle,"['Positive', 'cried', 'both', 'detectives']"
A Study in Scarlet,Arthur Conan Doyle,"['Then', 'of', 'course', 'this', 'blood', 'belongs', 'to', 'a', 'second', 'individual', 'presumably', 'the', 'murderer', 'if', 'murder', 'has', 'been', 'committed']"
A Study in Scarlet,Arthur Conan Doyle,"['It', 'reminds', 'me', 'of', 'the', 'circumstances', 'attendant', 'on', 'the', 'death', 'of', 'Van', 'Jansen', 'in', 'Utrecht', 'in', 'the', 'year']"
A Study in Scarlet,Arthur Conan Doyle,"['Do', 'you', 'remember', 'the', 'case', 'Gregson', 'No', 'sir', 'Read', 'it', 'up', 'you', 'really', 'should']"
A Study in Scarlet,Arthur Conan Doyle,"['There', 'is', 'nothing', 'new', 'under', 'the', 'sun']"
A Study in Scarlet,Arthur Conan Doyle,"['It', 'has', 'all', 'been', 'done', 'before', 'As', 'he', 'spoke', 'his', 'nimble', 'fingers', 'were', 'flying', 'here', 'there', 'and', 'everywhere', 'feeling', 'pressing', 'unbuttoning', 'examining', 'while', 'his', 'eyes', 'wore', 'the', 'same', 'far', 'away', 'expression', 'which', 'I', 'have', 'already', 'remarked', 'upon']"
A Study in Scarlet,Arthur Conan Doyle,"['So', 'swiftly', 'was', 'the', 'examination', 'made', 'that', 'one', 'would', 'hardly', 'have', 'guessed', 'the', 'minuteness', 'with', 'which', 'it', 'was', 'conducted']"
A Study in Scarlet,Arthur Conan Doyle,"['Finally', 'he', 'sniffed', 'the', 'dead', 'man', 's', 'lips', 'and', 'then', 'glanced', 'at', 'the', 'soles', 'of', 'his', 'patent', 'leather', 'boots']"
A Study in Scarlet,Arthur Conan Doyle,"['He', 'has', 'not', 'been', 'moved', 'at', 'all', 'he', 'asked']"
A Study in Scarlet,Arthur Conan Doyle,"['No', 'more', 'than', 'was', 'necessary', 'for', 'the', 'purposes', 'of', 'our', 'examination', 'You', 'can', 'take', 'him', 'to', 'the', 'mortuary', 'now', 'he', 'said']"
A Study in Scarlet,Arthur Conan Doyle,"['There', 'is', 'nothing', 'more', 'to', 'be', 'learned', 'Gregson', 'had', 'a', 'stretcher', 'and', 'four', 'men', 'at', 'hand']"
A Study in Scarlet,Arthur Conan Doyle,"['At', 'his', 'call', 'they', 'entered', 'the', 'room', 'and', 'the', 'stranger', 'was', 'lifted', 'and', 'carried', 'out']"
